用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
128335795,今日奇闻,http://p1.music.126.net/MeOIMF_-nEhBli13Ub3V6g==/109951163335798641.jpg,1459501525393,18215,【寻人启事】姓名：张国荣，于2003年4月1日离家，身高：1.75m.有着最优雅的微笑，有着天使般的面孔，有着天籁般的歌喉，有着美好的心灵，右腿膝盖有块胎记，离家时身着杏色西装，至今未归，若你见到他，请告诉他：我们都爱他，都在等他，说好一辈子的。
45463969,Ev1L丶THouGHt,http://p1.music.126.net/ZAt1kmdhWi3zMOFUSckQMQ==/3442570921834987.jpg,1454850171436,17189,在香港对于男孩子长相至今都有一句话 — 我靓吗？ — 你再靓，靓的过荣仔吗[钟情]
39595868,左眼烈烈,http://p1.music.126.net/CUCXeMfrJ1pv_J-KbFisiQ==/6668538023369028.jpg,1416884772284,13674,剧、曲、人，都是港片巅峰。听着音乐，想着张国荣在距离，烟雨迷蒙的山中步步寻路的样子，港片的经典与独特气质也不过如此——优雅、迷蒙，国风浓厚又不失淡然
121308498,Dezi_,http://p1.music.126.net/IOOX61orqYuHZO34Th17UA==/3308430490625390.jpg,1456502020542,12089,最美不过王祖贤，最帅不过张国荣！
88602760,PeLiang,http://p1.music.126.net/kmMLU_iJeIyjylntmUXOoA==/109951163232607276.jpg,1449229307916,9695,前面的看着好伤感  突然出现了你这个逗比[大哭][大哭]
1275272,追寻遗失的心跳,http://p1.music.126.net/KNv9cpev8e4Bo6Ibrf6N8w==/18679603045532758.jpg,1414180135981,7293,黄霑以后，很少有这样的歌了
387055,天边一朵云l,http://p1.music.126.net/BsihC1tVbqi9DgWK1Oz6HA==/2804854162468545.jpg,1449338823207,6630,十里平湖霜满天， 寸寸青丝愁华年。 对月形单望相护， 只羡鸳鸯不羡仙。
63263131,九零後的大叔,http://p1.music.126.net/JpzqkNWi0pf4FGFSgUANyg==/109951163576153373.jpg,1473249450548,6331,哥哥去世后一片怀念之声，可生前又有多少人骂过他不知羞耻基佬一个，杰克逊去世后直呼此后再无巨星，可生前又有多少人相信那莫须有的娈童案，吴清源去世后多少人感叹大师逝去，觉得他真是中国的骄傲，可生前又有多少人指着他的脊梁骂他汉奸骂他不是中国人。。。。我们的宽容和善良，永远留给死者吗
59046811,張小飞丶同学,http://p1.music.126.net/bAX3FAVe8nn5gy2PvF8RDw==/3257852953626385.jpg,1439001565129,82016,谢谢哥哥，先天性小儿麻痹让我受尽冷眼嘲笑。初一我有幸听到这首歌。是呀，神造世人，处处都有他的公允！这首歌伴我走过最黑暗的时代。现在成了家，有个自己的小棉袄。可爱、健康，谢谢神把我应有的都转移给了我的宝贝！[拜]
9740439,看-灰机灰走了,http://p1.music.126.net/VrcLeR0CziX_n2O3INl0zg==/2884018999689576.jpg,1420597938500,32508,以前其实蛮不喜欢张国荣的，因为感觉被太多粉丝吹捧感觉莫名其妙，听了这首歌才发现他被这么多人爱是有原因的
44895061,隔壁班小平头,http://p1.music.126.net/09T_wsSPoZpb2fmdeuDvhw==/109951163260796725.jpg,1424562488425,26079,突然想起一句话，有人问我什么是香港？在我看来，张国荣就是香港
58230785,麻辣牛肉粒,http://p1.music.126.net/SXmvyLpmZ1jsYgz7T0iYMA==/2885118513492347.jpg,1426774236080,22503,今天尝试了一下离开手机。手机放在寝室独自出门。健身，购物，等公交。许久没有这么安静的和自己独处。感觉有些棒。不依附于别人独立存活，耐得住孤独与寂寞。
